Time (s),Channel 1 (V),Channel 2 (V)
-0.0006168793801352054,-0.8915275757419804,-0.0001026315240947261
-0.0006167493801352054,-0.8894950047644947,-0.0007807700117141612
-0.0006166193801352054,-0.8884787192757519,-0.001458908499333596
-0.0006164893801352054,-0.8871236719574283,-0.001119839255523879
-0.0006163593801352055,-0.8847523391503628,-0.0001026315240951886
-0.0006162293801352055,-0.8833972918320386,0.0005755069635244008
-0.0006160993801352054,-0.8833972918320379,0.0009145762073344267
-0.0006159693801352054,-0.8830585300024563,0.0009145762073344267
-0.0006158393801352054,-0.8813647208545523,0.0009145762073344267
-0.0006157093801352054,-0.8796709117066477,0.0002364377197149915
-0.0006155793801352054,-0.877977102558743,0.0009145762073344267
-0.0006154493801352054,-0.8762832934108383,0.0005755069635247092
-0.0006153193801352055,-0.8749282460925145,-0.0004417007679044436
-0.0006151893801352055,-0.8728956751150299,-0.004171462449809641
-0.0006150593801352055,-0.8705243423079635,-0.005188670181240028
-0.0006149293801352054,-0.8678142476713147,-0.001797977743142851
-0.0006147993801352054,-0.867136724012153,-0.0007807700117141612
-0.0006146693801352054,-0.8661204385234103,0.0002364377197149915
-0.0006145393801352054,-0.8661204385234103,0.0009145762073344267
-0.0006144093801352054,-0.8647653912050866,0.0002364377197149915
-0.0006142793801352054,-0.862055296568439,0.0005755069635247092
-0.0006141493801352055,-0.8603614874205352,0.0005755069635247092
-0.0006140193801352055,-0.8600227255909536,0.0009145762073342725
-0.0006138893801352054,-0.8586676782726288,0.001253645451143682
-0.0006137593801352054,-0.8566351072951438,0.000236437719714529
-0.0006136293801352054,-0.8559575836359823,-0.0007807700117141612
-0.0006134993801352054,-0.8546025363176585,-0.0007807700117141612
-0.0006133693801352054,-0.852231203510592,-0.0007807700117141612
-0.0006132393801352054,-0.8498598707035254,-0.0007807700117141612
-0.0006131093801352055,-0.8481660615556216,0.000236437719714529
-0.0006129793801352055,-0.8464722524077168,0.000575506963524555
-0.0006128493801352054,-0.8441009196006485,0.0009145762073344267
-0.0006127193801352054,-0.8417295867935831,0.0009145762073342725
-0.0006125893801352054,-0.8420683486231639,0.0005755069635247092
-0.0006124593801352054,-0.8407133013048402,0.0005755069635247092
-0.0006123293801352054,-0.8376644448386118,-0.0001026315240947261
-0.0006121993801352054,-0.8369869211794499,-0.0004417007679044436
-0.0006120693801352055,-0.8356318738611261,-0.0007807700117141612
-0.0006119393801352055,-0.8352931120315453,-0.0004417007679045978
-0.0006118093801352054,-0.8325830173948978,-0.0004417007679042895
-0.0006116793801352054,-0.8325830173948969,-0.0001026315240945719
-0.0006115493801352054,-0.8305504464174122,0.0002364377197149915
-0.0006114193801352054,-0.8291953990990885,-0.0007807700117141612
-0.0006112893801352054,-0.8271628281216028,-0.0004417007679044436
-0.0006111593801352054,-0.8258077808032791,-0.0004417007679044436
-0.0006110293801352055,-0.8244527334849554,-0.0004417007679044436
-0.0006108993801352055,-0.8214038770187283,-0.00111983925552357
-0.0006107693801352055,-0.8186937823820807,-0.001119839255523879
-0.0006106393801352054,-0.8180162587229169,-0.0004417007679049062
-0.0006105093801352054,-0.816661211404593,-0.001458908499333751
-0.0006103793801352054,-0.8146286404271083,-0.001797977743143314
-0.0006102493801352054,-0.8122573076200417,-0.001119839255523879
-0.0006101193801352054,-0.8132735931087846,-0.0001026315240947261
-0.0006099893801352054,-0.8125960694496227,0.001253645451144144
-0.0006098593801352055,-0.8105634984721379,0.001931783938763271
-0.0006097293801352055,-0.8095472129833947,0.001253645451144453
-0.0006095993801352054,-0.806498356517164,0.001253645451144607
-0.0006094693801352054,-0.8024332145621946,0.002270853182572989
-0.0006093393801352054,-0.8024332145621946,0.001592714694953862
-0.0006092093801352054,-0.800061881755128,0.0005755069635247092
-0.0006090793801352054,-0.7990455962663853,-0.0001026315240947261
-0.0006089493801352054,-0.7973517871184806,0.0002364377197149915
-0.0006088193801352055,-0.7956579779705767,0.0002364377197149915
-0.0006086893801352055,-0.7932866451635106,-0.0007807700117136987
-0.0006085593801352054,-0.7909153123564424,-0.001119839255523725
-0.0006084293801352054,-0.7898990268676993,-0.0007807700117143154
-0.0006082993801352054,-0.7882052177197953,-0.001119839255523879
-0.0006081693801352054,-0.7878664558902144,-0.001119839255523879
-0.0006080393801352054,-0.7861726467423098,-0.0007807700117141612
-0.0006079093801352054,-0.7824462666169195,-0.0007807700117141612
-0.0006077793801352055,-0.7783811246619483,-0.0007807700117141612
-0.0006076493801352055,-0.7777036010027868,0.0005755069635240925
-0.0006075193801352055,-0.7760097918548825,0.0005755069635247092
-0.0006073893801352054,-0.7746547445365571,-0.0004417007679044436
-0.0006072593801352054,-0.7726221735590724,-0.0004417007679044436
-0.0006071293801352054,-0.7726221735590724,0.0002364377197149915
-0.0006069993801352054,-0.769912078922425,0.0009145762073344267
-0.0006068693801352054,-0.7682182697745202,-0.0007807700117141612
-0.0006067393801352055,-0.7658469369674538,0.0002364377197149915
-0.0006066093801352055,-0.763814365989969,0.004983407133048879
-0.0006064793801352055,-0.7624593186716451,0.00430526864543191
-0.0006063493801352054,-0.7627980805012246,0.0002364377197146832
-0.0006062193801352054,-0.761104271353319,-0.0004417007679042895
-0.0006060893801352054,-0.7577166530575112,-0.0001026315240947261
-0.0006059593801352054,-0.7560228439096066,0.0009145762073344267
-0.0006058293801352054,-0.75365151110254,0.0005755069635247092
-0.0006056993801352054,-0.7499251309771497,0.0009145762073344267
-0.0006055693801352055,-0.7485700836588267,0.0009145762073344267
-0.0006054393801352055,-0.7455212271925989,0.0005755069635248633
-0.0006053093801352054,-0.7438274180446925,0.0002364377197149915
-0.0006051793801352054,-0.7428111325559494,0.0002364377197148373
-0.0006050493801352054,-0.7411173234080455,-0.0001026315240947261
-0.0006049193801352054,-0.7390847524305599,0.0002364377197149915
-0.0006047893801352054,-0.7370521814530743,0.0005755069635247092
-0.0006046593801352054,-0.7350196104755887,0.001253645451144144
-0.0006045293801352055,-0.7343420868164271,0.000236437719715454
-0.0006043993801352055,-0.7319707540093614,-0.0001026315240945719
-0.0006042693801352054,-0.7285831357135502,0.0002364377197152999
-0.0006041393801352054,-0.7268893265656452,0.0009145762073344267
-0.0006040093801352054,-0.7245179937585797,0.0009145762073344267
-0.0006038793801352054,-0.7218078991219322,0.0002364377197149915
-0.0006037493801352054,-0.7187590426557038,-0.0001026315240947261
-0.0006036193801352054,-0.7180815189965419,-0.0001026315240947261
-0.0006034893801352055,-0.7184202808261229,-0.0001026315240947261
-0.0006033593801352055,-0.7160489480190575,-0.0004417007679042895
-0.0006032293801352055,-0.7146939007007332,-0.0004417007679044436
-0.0006030993801352054,-0.7119838060640841,-0.0004417007679042895
-0.0006029693801352054,-0.7096124732570186,-0.0001026315240947261
-0.0006028393801352054,-0.707579902279533,0.0002364377197149915
-0.0006027093801352054,-0.7062248549612092,0.0002364377197149915
-0.0006025793801352054,-0.7035147603245618,-0.001797977743143314
-0.0006024493801352054,-0.7001271420287525,-0.001797977743143314
-0.0006023193801352055,-0.6974170473921062,-0.001119839255524187
-0.0006021893801352055,-0.6960620000737819,-0.0007807700117143154
-0.0006020593801352054,-0.6940294290962945,-0.001458908499333596
-0.0006019293801352054,-0.6916580962892281,-0.001458908499333134
-0.0006017993801352054,-0.6896255253117435,-0.0004417007679044436
-0.0006016693801352054,-0.6879317161638389,-0.0007807700117141612
-0.0006015393801352054,-0.686915430675096,-0.0001026315240947261
-0.0006014093801352054,-0.6842053360384486,0.0002364377197149915
-0.0006012793801352055,-0.6831890505497061,0.000575506963524555
-0.0006011493801352055,-0.6821727650609634,-0.0001026315240944178
-0.0006010193801352054,-0.6808177177426379,0.0002364377197152999
-0.0006008893801352054,-0.6777688612764092,0.0009145762073338099
-0.0006007593801352054,-0.6743812429806014,-0.0004417007679044436
-0.0006006293801352054,-0.6733649574918587,-0.0007807700117141612
-0.0006004993801352054,-0.6699773391960493,-0.001119839255523879
-0.0006003693801352054,-0.6669284827298209,-0.0004417007679044436
-0.0006002393801352055,-0.6652346735819162,-0.0001026315240947261
-0.0006001093801352055,-0.6621858171156891,-0.0004417007679042895
-0.0005999793801352054,-0.6587981988198778,-0.0001026315240948802
-0.0005998493801352054,-0.6574431515015541,-0.0004417007679041352
-0.0005997193801352054,-0.6560881041832309,0.0002364377197149915
-0.0005995893801352054,-0.6547330568649072,0.0009145762073344267
-0.0005994593801352054,-0.6513454385690979,0.0005755069635247092
-0.0005993293801352054,-0.6486353439324504,-0.0004417007679044436
-0.0005991993801352055,-0.6469415347845457,0.0002364377197149915
-0.0005990693801352055,-0.6452477256366419,0.000575506963524555
-0.0005989393801352055,-0.6449089638070602,-0.0001026315240944178
-0.0005988093801352054,-0.643215154659155,-0.002137046986953494
-0.0005986793801352054,-0.6421988691704118,-0.003154254718381413
-0.0005985493801352054,-0.640166298192927,-0.001458908499333596
-0.0005984193801352054,-0.6377949653858606,-0.0007807700117141612
-0.0005982893801352054,-0.635084870749213,-0.0001026315240947261
-0.0005981593801352054,-0.6327135379421465,0.001253645451144144
-0.0005980293801352055,-0.6296646814759195,0.0005755069635250175
-0.0005978993801352055,-0.6262770631801103,0.0005755069635247092
-0.0005977693801352054,-0.6235669685434606,0.0005755069635248633
-0.0005976393801352054,-0.6222119212251368,0.0009145762073338099
-0.0005975093801352054,-0.6205181120772328,-0.0004417007679044436
-0.0005973793801352054,-0.6184855410997473,-0.0004417007679044436
-0.0005972493801352054,-0.6157754464630998,0.0005755069635247092
-0.0005971193801352054,-0.6127265899968714,0.0005755069635247092
-0.0005969893801352055,-0.6106940190193867,0.0002364377197151457
-0.0005968593801352055,-0.6100164953602243,0.000575506963524555
-0.0005967293801352054,-0.6069676388939939,0.0009145762073338099
-0.0005965993801352054,-0.603241258768604,-0.000441700767904752
-0.0005964693801352054,-0.6005311641319577,-0.001119839255523879
-0.0005963393801352054,-0.5988373549840531,-0.0007807700117141612
-0.0005962093801352054,-0.5961272603474056,-0.0007807700117141612
-0.0005960793801352054,-0.5930784038811772,-0.0001026315240947261
-0.0005959493801352055,-0.5913845947332725,0.0005755069635247092
-0.0005958193801352055,-0.5886745000966263,0.0009145762073342725
-0.0005956893801352054,-0.5863031672895573,0.0009145762073338099
-0.0005955593801352054,-0.5839318344824904,-0.0004417007679039811
-0.0005954293801352054,-0.5805442161866826,0.0005755069635247092
-0.0005952993801352054,-0.5791891688683589,0.0009145762073344267
-0.0005951693801352054,-0.578511645209197,0.0009145762073344267
-0.0005950393801352054,-0.5758015505725496,0.0005755069635247092
-0.0005949093801352055,-0.5724139322767402,0.0005755069635247092
-0.0005947793801352055,-0.5710588849584172,0.0002364377197151457
-0.0005946493801352055,-0.5690263139809317,-0.0004417007679041353
-0.0005945193801352054,-0.565299933855539,0.0002364377197148373
-0.0005943893801352054,-0.5619123155597299,-0.0001026315240942635
-0.0005942593801352054,-0.5588634590935028,0.0009145762073344267
-0.0005941293801352054,-0.5575084117751791,0.0009145762073344267
-0.0005939993801352054,-0.5547983171385316,0.0005755069635247092
