Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,0.006287767390224735,-79.09386035064612,92.21197421814578
103.3541994503505,0.01938761861890655,-80.79867378561217,90.36678944271344
106.8209054402282,0.01186164232455851,-79.46083776515928,89.8310804601886
110.4038916633637,0.02361603145284776,-79.3892836459593,96.98769739777991
114.1070583907018,0.02169308353794256,-79.35569924709564,93.59994275833736
117.9344367160538,0.01813741654558044,-78.92642105256776,90.47687349814453
121.8901929441575,0.0196875050188837,-77.14904433666901,93.99161354547547
125.9786331259215,0.01645675002113686,-78.90687595726187,84.83890112757891
130.2042077457902,0.01694962656997175,-77.88638309503901,83.44744274790244
134.5715165663328,0.01819390575337687,-77.3574105895145,90.94179570235622
139.0853136353288,0.01803302416376259,-77.02870571197424,91.24255817701469
143.7505124608033,0.0184259549749137,-76.27591459561542,99.44186475237206
148.5721913596395,0.01694882297619338,-77.04907010266045,92.68045332537247
153.5555989855982,0.01680393687810103,-75.8365646258965,91.80036715745959
158.7061600427555,0.01723697940240588,-76.8297758172659,94.40190831253506
164.0294811905818,0.01696339160053261,-75.86120244389461,90.01442980782527
169.5313571470891,0.01719386959021727,-76.89536492064624,87.97533544718297
175.2177769966883,0.01677028571727104,-75.55581145412054,94.09545439793655
181.0949307096276,0.01794642361196802,-75.11813026711286,93.27874073959026
187.1692158801024,0.01747931870217104,-74.90946218451182,92.37623202339836
193.447244690378,0.01820017170175613,-73.98953315163537,88.51159804787905
199.9358511085007,0.01709816290467388,-74.47240185450732,88.44485479980243
206.6420983274357,0.01823304587398479,-73.77266922038598,98.82366696832787
213.573286453727,0.0180559197060743,-73.49975957358473,92.8218512958404
220.7369604540534,0.01726592705507747,-72.6659602008,94.61530957298696
228.1409183683234,0.01753796630349393,-73.13839443815198,90.24309736963323
235.7932197982583,0.01768408117767556,-72.27906138115686,91.54984237916727
243.702194680695,0.01682598001979784,-72.66814747267904,87.57566277767509
251.8764523551669,0.01687501764526094,-72.21189931908877,94.59535310080045
260.3248909356261,0.01803574483489297,-71.30977913585787,88.05463291840269
269.0567069965143,0.01858541841497201,-71.63815458804443,94.84656180527807
278.0814055837224,0.01933943704311408,-71.14876962493278,98.44016898838137
287.4088105613386,0.01378648923183577,-71.75559575915374,89.64450455806501
297.0490753054455,0.01958823063566289,-71.14783496617417,90.19058178414853
307.012693756612,0.01942253414651635,-70.45666514561943,90.80510028074531
317.3105118431023,0.01998526152579823,-70.47878855594129,88.39021564806799
327.9537392872479,0.01413839869534563,-70.0269047247338,89.84850822739065
338.9539618078245,0.01880216886901456,-69.75895666788345,91.34548028289487
350.3231537317238,0.01702166125759546,-69.29790164081066,91.90148108978023
362.0736910286434,0.01769699316609487,-68.72036265702791,93.68537200119987
374.2183647829897,0.01533536273133363,-68.50378300532117,90.63832205662015
386.7703951176512,0.01487512431427282,-68.63988867838758,93.12564187372254
399.7434455848058,0.01596079695854377,-68.60340575947484,93.24071881014561
413.1516380394231,0.01461961726864311,-67.49510398620902,89.94490673645572
427.0095680116555,0.01486859950023757,-67.43841532327917,91.59926604235119
441.3323205948463,0.01470577139619835,-67.09091067881191,90.92640819251017
