Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
5821.424874809302,-0.1047016863029023,-34.82444727364832,91.85712485912924
5837.719956502767,-0.1055065080173647,-34.83970263122814,92.05782632478966
5854.060650686834,-0.1067542394142296,-34.64416381302939,91.79024502105167
5870.447085038023,-0.1080968230717994,-34.59011813033558,92.02736229790904
5886.879387590237,-0.11087623294617,-34.38532134951319,91.6778285488885
5903.357686735771,-0.1151758543647425,-34.13540648376863,91.66989516548878
5919.882111226305,-0.1067888288241201,-34.18460736122502,91.67793652802931
5936.452790173917,-0.1075903662236296,-33.87857194871024,91.64508594996039
5953.069853052093,-0.1069626944915378,-33.89333839412808,91.53301280233116
5969.733429696731,-0.1076156115451268,-33.68844687340711,91.27214791218596
5986.443650307161,-0.1073770883947491,-33.53265424588889,91.45917736155491
6003.200645447167,-0.1076170909590679,-33.3808484061938,91.36034597710335
6020.004546045991,-0.1072700697483502,-33.08336086884521,91.19135556811386
6036.855483399377,-0.1088843090923404,-33.11196712205557,91.07361042522706
6053.753589170578,-0.1109857549734461,-32.84050130786027,91.00515752496723
6070.6989953914,-0.1146829818820633,-32.79981587968624,91.14583363371337
6087.691834463222,-0.118663190260461,-32.46096505912141,90.81029835182899
6104.732239158037,-0.1087604318940085,-32.42498418586877,90.81950513491634
6121.820342619488,-0.1089236211912893,-32.10401744163232,90.6024687845204
6138.956278363908,-0.1089893925714861,-32.14141341636268,90.70716106739839
6156.140180281362,-0.1096964030747105,-31.78685400683016,90.32250489180836
6173.372182636695,-0.1091329319858114,-31.80158863480328,90.83603078183609
6190.652420070579,-0.1089893146749711,-31.4757653908283,90.29018446261676
6207.98102760057,-0.1090827705690731,-31.34396465205205,90.20563534095294
6225.358140622156,-0.1108408958875617,-31.1506867426459,90.12369450124334
6242.783894909818,-0.112909488122378,-30.90071082106476,89.96222467733247
6260.258426618094,-0.1159723243021841,-30.70601941853139,89.86782631169577
6277.781872282637,-0.1206634980525781,-30.4187776136516,89.61469425762559
6295.354368821288,-0.1251477281096121,-30.40663372285188,89.53296186788073
6312.976053535137,-0.111134168289451,-30.09774239929774,89.26984290873342
6330.647064109608,-0.1107661992711458,-30.00982494920121,89.08830311412925
6348.367538615523,-0.1108926945515466,-29.7313480756655,89.26915293456094
6366.137615510189,-0.1107595407672728,-29.56474079519509,89.0790955589701
6383.957433638474,-0.1108401863003617,-29.23325312372546,89.11128276580244
6401.827132233896,-0.110730078107164,-29.08171388032125,88.65275655324598
6419.746850919712,-0.1117511603301835,-28.66094102901429,88.26204722467348
6437.716729710001,-0.1133194950869969,-28.45789286590776,88.2006295739435
6455.736909010769,-0.1168372931340116,-28.17433112989829,87.61568254556994
6473.807529621035,-0.1208425338244275,-27.88895946793697,87.46806589748493
6491.92873273394,-0.1255016230005959,-27.63214669544091,87.47160198502809
6510.100659937848,-0.1234796495608818,-27.27745436358435,86.77561912906066
6528.323453217447,-0.1127331583906843,-27.09901282115155,86.88556139086239
6546.597254954866,-0.1128403888819967,-26.71644202863759,86.10093627718607
6564.922207930779,-0.1127379322649611,-26.51563254653789,86.14466094914002
6583.298455325535,-0.1131210597875862,-26.06454349505201,85.5034528580498
6601.726140720256,-0.1126907343139357,-25.61404477792503,85.05875760540445
6620.205408097977,-0.1127888543270365,-25.40798723465307,84.6440140528058
6638.736401844762,-0.1139519938909319,-24.91877283670144,84.07270750810979
6657.319266750837,-0.1159028315855337,-24.69022725009322,83.78086919192947
6675.954148011712,-0.1188859470848594,-24.22068884726192,82.79386080286322
6694.641191229329,-0.1232966265815022,-23.76449340943559,82.432873812501
6713.380542413191,-0.1304367562219107,-23.32116965802882,81.29533421007547
6732.1723479815,-0.1239897147761437,-22.80453556253959,80.77504918317422
6751.016754762312,-0.1146014146550583,-22.35342535033011,79.85451853399854
6769.913909994673,-0.1150566437017017,-21.72683652718698,78.59846715265854
6788.863961329777,-0.1150340180628846,-21.24637760840073,77.18654637833437
6807.867056832116,-0.114188982106345,-20.60608932889973,75.87290309576821
6826.923344980635,-0.1148687581162032,-20.14970163253282,74.35648355637782
6846.0329746699,-0.1150858367597554,-19.40406325709617,72.28512966616326
6865.196095211253,-0.1162286846411499,-18.81656109149745,70.81764439282671
6884.412856333982,-0.1186799273452892,-18.01497988332519,67.96849555094801
6903.683408186491,-0.1213284471610546,-17.16977249668684,64.75774043889064
6923.007901337473,-0.1265952816586067,-16.39434192330982,60.58658283185822
6942.38648677709,-0.1329490262638988,-15.48164920809308,55.73478186582491
6961.819315918141,-0.131004598251489,-14.80515748873858,50.48400883177786
6981.306540597262,-0.122532669445702,-13.88457325097006,42.71081292627955
7000.848313076096,-0.125215782555872,-13.27941682272018,34.09402003468945
7020.444786042496,-0.1277418574147326,-12.75827924108403,23.08807688028821
7040.09611261171,-0.1307767927067158,-12.52012444853557,11.05237193299934
7059.802446327579,-0.1331390792123427,-12.63906477238477,-1.096877882252485
7079.563941163738,-0.1334977901330823,-12.8805152690769,-12.62128836685336
7099.380751524817,-0.1337834524769494,-13.57833445444469,-22.48702413094063
7119.253032247652,-0.1348558657428568,-14.12854378069518,-30.65822725403928
7139.180938602491,-0.1352284325928284,-15.03795260349882,-37.57955074859689
7159.164626294203,-0.1372226191993965,-15.72178877025334,-43.14524115676036
7179.204251463504,-0.1408381748239857,-16.4910803522145,-47.825203575733
7199.299970688172,-0.1429338394905907,-17.25137128924914,-51.35445944229245
7219.451940984271,-0.1361946040567553,-17.92226541545823,-54.51880307477411
7239.660319807373,-0.1278031094255186,-18.71401709302156,-56.70384241353446
7259.925265053799,-0.127294870291681,-19.29060517681314,-59.11709976038284
7280.246935061845,-0.1259684918739715,-20.13373921814946,-61.04159646576768
7300.625488613017,-0.1252820426135791,-20.61564311986594,-62.7281346152992
7321.06108493328,-0.1252386275120748,-21.18121458056746,-64.24343162605518
7341.553883694295,-0.1251277650402001,-21.73232468334716,-65.29342253295609
7362.104045014669,-0.125221463872496,-22.19442356710968,-66.56379156903829
7382.711729461208,-0.1261781329314095,-22.73202804629387,-67.18908779020387
7403.377098050168,-0.1283273967719435,-23.12069122708117,-68.38393931816475
7424.100312248513,-0.1318604096042257,-23.71396081545618,-68.92244508005535
7444.881533975184,-0.136292301194049,-24.03455934663617,-69.61776141713868
7465.720925602353,-0.1389721621865335,-24.53128192938404,-70.69519387491374
7486.618649956698,-0.1335767576302339,-24.86839140568071,-70.85880343799158
